# Constructed from biom file
#OTU ID	SRR9207262	SRR9207263	SRR9207264	SRR9207265	SRR9207266	SRR9207267	SRR9207268	SRR9207269	SRR9207270	SRR9207271	SRR9207272	SRR9207273	SRR9207274	SRR9207275	SRR9207276	SRR9207277	SRR9207278	SRR9207279	SRR9207280	SRR9207281	SRR9207282	SRR9207283	SRR9207284	SRR9207285	SRR9207286	SRR9207287	SRR9207288	SRR9207289	SRR9207290	SRR9207291	SRR9207292	SRR9207293	SRR9207294	SRR9207295	SRR9207296	SRR9207297	SRR9207298	SRR9207299	SRR9207300	SRR9207301	SRR9207302	SRR9207303	SRR9207304	SRR9207305	SRR9207306	SRR9207307	SRR9207308	SRR9207309
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0001712279900687766	0.0	0.0	0.00014268999172398049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016038355069775405	0.0009702919437230672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013127479238606203	0.0	0.0	0.0	0.011472275334608031	0.00014268999172398049	0.06258383037013784	0.0	0.0	0.0	0.000884677948688679	0.008932393481921179	0.0	0.0	0.00042806997517194146	0.0	0.0	0.0	2.8537998344796096e-05	0.0	0.00011415199337918438	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae	0.00014268999172398049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.707599668959219e-05	5.707599668959219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011415199337918439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011415199337918438	0.0	8.56139950343883e-05	0.0	0.0	0.0	0.0	0.0	2.8537998344796096e-05	8.56139950343883e-05	0.0	5.707599668959219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014268999172398049	0.0	0.0	0.00025684198510316484	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	0.012157187294883137	0.00702034759281984	0.0	0.0	0.00014268999172398049	0.0	0.0	0.009417539453782712	0.0	0.0	0.0	0.022773322679147286	0.012956251248537427	0.006192745640820753	0.008304557518335663	0.0	0.08027738934391142	0.0017122799006877658	0.051254245027253786	0.0004851459718615336	0.005165377700408093	0.0	0.0	0.0001712279900687766	0.0009132159470334751	0.0	0.0003424559801375532	0.0	0.051282783025598584	0.001512513912274193	5.707599668959219e-05	0.001483975913929397	0.009702919437230673	0.00299648982620359	0.009959761422333837	0.005393681687166462	0.004366313746753803	0.0001712279900687766	0.04420535943608915	0.003538711794754716	0.00014268999172398049	0.002882337832824406	0.02186010673211381	0.0	0.0007419879569646985	0.08649867298307697	0.00014268999172398049
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8537998344796096e-05	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.707599668959219e-05	0.0	0.0	0.0	0.0	0.0	2.8537998344796096e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8537998344796096e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00019976598841357266	0.0	0.0	2.8537998344796096e-05	0.00019976598841357266	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.0	0.0	0.00014268999172398049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.707599668959219e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011415199337918438	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.00022830398675836877	0.0	0.0012842099255158243	0.0	0.0037955537798578807	0.008019177534887702	0.0	0.016580577038326532	0.006706429611027083	0.0008561399503438829	0.00028537998344796097	0.00031391798179275705	0.0032247938129619587	0.0030821038212379783	0.011443737336263235	0.01872092691418624	8.56139950343883e-05	0.0019691218857909305	0.0007419879569646985	0.000884677948688679	0.017065723010188067	0.0	0.0	0.00031391798179275705	0.015667361091293058	0.03253331811306755	0.0	0.0	0.0012842099255158243	0.00019976598841357266	0.0	0.0	0.00037099397848234925	0.030307354242173453	0.0005422219685511259	0.03767015781513085	0.0076767215547501495	0.0	0.0008276019519990867	0.0	0.0	0.004080933763305841	0.0024542678576524642	0.0	0.001483975913929397	0.0007990639536542907	0.0021403498758597074	0.00031391798179275705
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriales Incertae Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.56139950343883e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.0008276019519990867	0.00025684198510316484	0.00042806997517194146	0.006192745640820753	0.0005136839702063297	0.0004851459718615336	0.0010273679404126594	0.0027681858394452215	0.001198595930481436	0.0003424559801375532	0.00014268999172398049	0.00042806997517194146	0.0007134499586199024	0.0008561399503438829	0.0005707599668959219	0.00011415199337918438	0.00025684198510316484	2.8537998344796096e-05	0.00025684198510316484	0.0006278359635855141	0.000884677948688679	5.707599668959219e-05	0.0004851459718615336	0.0	0.000599297965240718	0.0011129819354470478	0.0013412859222054164	0.0022830398675836878	0.0010559059387574554	0.0004851459718615336	0.0006849119602751064	0.0013412859222054164	5.707599668959219e-05	0.0018264318940669501	0.00022830398675836877	0.0006849119602751064	0.005764675665648812	0.0016266659056533774	0.0	0.0001712279900687766	0.0021403498758597074	5.707599668959219e-05	0.0006849119602751064	0.003624325789789104	8.56139950343883e-05	0.00031391798179275705	0.00011415199337918438	5.707599668959219e-05
